IncidentName,FireDiscoveryDateTime,DiscoveryAcres,FinalAcres,IncidentSize,InitialLatitude,InitialLongitude,POOCounty,POOState,FireCause,FireBehaviorGeneral,FireMgmtComplexity,PredominantFuelModel,PredominantFuelGroup,EstimatedCostToDate,EstimatedFinalCost,PercentContained,terrain_slope_pct,road_distance_km,terrain_enriched
GISH,1439154600000,2.0,,106.3,46.5783,-122.710701,Lewis,US-WA,Undetermined,,Type 3 Incident,,,607000.0,,100.0,1.8,0.32,1.0
PLEASANT VALLEY NW,1627594471000,2.0,,3.5,48.5539,-123.1573,San Juan,US-WA,Human,,,,,,,,7.9,0.31,1.0
GALAXY,1663625690000,2.0,,2.0,47.86792,-121.9751,Snohomish,US-WA,Human,,,,,,,,6.6,0.04,1.0
HWY 104,1533930280000,2.0,,2.0,47.97111,-122.7749,Jefferson,US-WA,Unknown,,,,,,,,7.6,0.08,1.0
DEE CREEK,1506542491000,2.0,,2.2,45.98991,-122.6621,Cowlitz,US-WA,Human,,,,,,,,11.6,0.38,1.0
Powerline,1436127720000,2.0,,1.8,47.4743,-121.707,King,US-WA,Human,,,,,5376.0,,100.0,8.9,0.09,1.0
QUARRY,1533527978000,2.0,,10.0,48.10403,-121.9694,Snohomish,US-WA,Human,,,,,,,,7.4,0.27,1.0
7320,1532818660000,2.0,,2.0,46.68467,-123.4781,Pacific,US-WA,Unknown,,,,,,,,10.9,0.38,1.0
I-90 Oaks,1439154120000,2.0,,3.9,47.183102,-121.0215,Kittitas,US-WA,Undetermined,,,,,,,,6.5,0.03,1.0
Sore Thumb,1597682400000,2.0,,2.0,47.98874,-123.9373,Clallam,US-WA,Natural,,,TL1,Timber,,,,38.4,0.48,1.0
C8270,1472536628000,2.0,,7.4,46.98373,-123.119,Thurston,US-WA,Undetermined,,,,,,,,25.3,0.12,1.0
RED BUTTE,1589141058000,2.0,,4.73,46.06659,-121.3752,Yakima,US-WA,Unknown,,,,,,,,10.2,0.36,1.0
CASCADIA,1505685120000,2.0,,4.15,48.52627,-121.3932,Skagit,US-WA,Human,,,,,,,,27.0,0.43,1.0
Halverson,1467607068000,2.0,,0.33,47.33998,-120.3338,Chelan,US-WA,Human,,,,,,,,16.9,0.07,1.0
Boulder Lake,1661386800000,2.0,,2428.0,48.19115,-121.6294,Skagit,US-WA,Natural,Minimal,Type 5 Incident,,,118800.0,117000.0,0.0,40.8,0.65,1.0
Charlie Canyon,1471467993000,2.0,,,46.03362,-120.6038,Klickitat,US-WA,Undetermined,,,,,,,,20.2,0.57,1.0
BROTHERHOOD,1587162300000,2.0,,8.0,48.18,-122.11,Skagit,US-WA,Human,,,,,,,,6.1,0.3,1.0
BRISTOL,1503173083000,2.0,,2.69,45.74631,-121.4352,Klickitat,US-WA,Undetermined,,,,,,,,5.4,0.21,1.0
VIOLET PLANTATION,1498952940000,2.0,,6.0,46.833,-122.9371,Thurston,US-WA,Human,,,,,,,,2.8,0.1,1.0
MORSE ROAD,1600079063000,2.0,,6.0,45.76001,-121.1237,Klickitat,US-WA,Unknown,,,,,,,,3.4,0.63,1.0
WANTLAND ROAD,1464740004000,2.0,,1.5,45.6132,-122.1756,Skamania,US-WA,Human,,,,,,,,14.7,0.05,1.0
DECKERVILLE FARM,1595801070000,2.0,,2.75,47.23505,-123.4645,Mason,US-WA,Unknown,,,,,,,,2.3,0.36,1.0
EVERGREEN ,1572389748000,2.0,,2.0,47.001544,-123.541098,Grays Harbor,US-WA,Human,,,,,,,,7.8,0.15,1.0
NORTH MAPLE ,1553126454000,2.0,,23.8,46.10746,-122.8481,Cowlitz,US-WA,Human,,,,,,,,10.5,0.06,1.0
QUARTZ CREEK,1660077199000,2.0,,2.0,46.21098,-121.6853,Skamania,US-WA,Natural,,,,,,,,13.4,0.64,1.0
IRON WEST,1536391621000,2.0,,16.0,47.33935,-120.694,Kittitas,US-WA,Natural,Minimal,Type 3 Incident,,,100000.0,,90.0,19.0,0.5,1.0
SELAH CREEK,1527022241000,2.0,,3.0,46.76202,-120.3795,Yakima,US-WA,Human,,,,,,,,9.4,0.14,1.0
CASE,1627341897000,2.0,,2.0,46.82749,-123.0018,Thurston,US-WA,Undetermined,,,,,,,,2.0,0.01,1.0
82 MILE POST 11,1500069172000,2.0,,5.0,46.97741,-120.508,Kittitas,US-WA,Undetermined,,,,,,,,1.2,0.75,1.0
COLVIN CREEK,1437332160000,2.0,,110.0,45.959999,-122.544998,Cowlitz,US-WA,Human,,,,,1571208.0,,100.0,21.1,0.95,1.0
BOZY CREEK,1596186000000,2.0,,3.5,47.04559,-123.1881,Thurston,US-WA,Unknown,,,,,,,,19.3,0.11,1.0
LIVINGSTON QUARRY,1438317240000,2.0,,4.0,45.672298,-122.403099,Clark,US-WA,Undetermined,,,,,,,,14.7,0.22,1.0
LAWTON,1560968416000,2.0,,4.5,46.83357,-122.9876,Thurston,US-WA,Unknown,,,,,,,,1.0,0.09,1.0
GREEN MOUNTAIN,1679248800000,2.0,,2.0,46.50162,-122.4022,Lewis,US-WA,Human,,,,,,,,13.3,0.19,1.0
HAMMA HAMMA,1680202389000,2.0,,2.0,47.561667,-123.016667,Mason,US-WA,Human,,,,,,,,6.5,0.31,1.0
FINCH CREEK,1684274473000,2.0,,2.0,47.41042,-123.1543,Mason,US-WA,Human,,,,,,,,8.5,0.14,1.0
BOBS MOUNTAIN,1685994339000,2.0,,4.33,45.65182,-122.1695,Skamania,US-WA,Human,,,,,,,,24.2,0.17,1.0
BURNT BRIDGE,1686002039000,2.0,,2.0,45.63688,-122.5852,Clark,US-WA,Human,,,,,,,,2.5,0.01,1.0
WILSON,1686599988000,2.0,,2.0,47.04193,-123.0611,Thurston,US-WA,Human,,,,,,,,16.7,0.15,1.0
HOLLOW POINT,1687567686000,2.0,,2.0,47.28431,-123.0515,Mason,US-WA,Human,,,,,,,,2.0,0.0,1.0
MONKEY HILL,1687738586000,2.0,,2.0,48.35751,-122.6302,Island,US-WA,Undetermined,,,,,,,,4.7,0.09,1.0
IKE,1688359405000,2.0,,2.0,46.54683,-122.4869,Lewis,US-WA,Human,,,,,,,,7.7,0.03,1.0
40TH AVE,1689281389000,2.0,,2.0,46.93352,-122.4837,Pierce,US-WA,Human,,,,,,,,2.0,0.08,1.0
MOUNTAIN LOOP,1689549900000,2.0,,14.0,48.11329,-121.8856,Snohomish,US-WA,Human,,,,,,,,10.0,0.29,1.0
JOHN SAM,1690039297000,2.0,,2.0,48.10934,-122.24,Snohomish,US-WA,Undetermined,,,,,,,,2.8,0.0,1.0
ELK MEADOW,1690566934000,2.0,,1.0,47.120304,-120.8004,Kittitas,US-WA,Human,,,,,,,,7.8,0.08,1.0
NS - 198,1690848381000,2.0,,2.0,46.56437,-121.7149,Lewis,US-WA,Undetermined,,,,,,,,22.0,0.24,1.0
HARRISON CREEK,1691396400000,2.0,,2.0,45.871299,-120.52562,Klickitat,US-WA,Natural,,,,,,,,9.5,1.17,1.0
SKULL SPRINGS,1692043440000,2.0,,2.0,47.14779,-120.84623,Kittitas,US-WA,Human,,,,,,,,12.7,,1.0
Huckleberry Flats,1692498360000,2.0,,145.0,48.276167,-121.403667,Snohomish,US-WA,Human,Minimal,Type 4 Incident,,,90000.0,1000000.0,100.0,13.8,0.93,1.0
KINGS CREEK,1692501540000,2.0,,0.98,45.79491,-122.338,Clark,US-WA,Human,,,,,,,,9.9,0.08,1.0
LORDS LAKE,1692723540000,2.0,,6.0,47.85729,-122.9328,Jefferson,US-WA,Human,,,,,,,,13.7,0.03,1.0
ADAMS FORK,1693009740000,2.0,,9.0,46.330556,-121.654833,Skamania,US-WA,Natural,,,,,,,0.0,28.6,0.91,1.0
MISSION,1693007199000,2.0,,22.0,46.47701,-121.59471,Lewis,US-WA,Natural,,,,,,3000000.0,100.0,36.0,1.64,1.0
HELEN,1693177733000,2.0,,12.0,46.905338,-120.496658,Kittitas,US-WA,Undetermined,,,,,,,,16.0,0.1,1.0
POTHOLE,1692989278000,2.0,,5.0,46.7049,-121.9196,Lewis,US-WA,Natural,,,,,,,0.0,34.0,0.4,1.0
DURR,1693553974000,2.0,,2.0,46.52842,-120.84907,Kittitas,US-WA,Undetermined,,,,,,,,6.5,0.51,1.0
CUSHMAN 2,1694121649000,2.0,,2.0,47.10396,-122.8896,Thurston,US-WA,Human,,,,,,,,4.0,0.03,1.0
OA - GOODWIN,1694386562000,2.0,,2.0,47.068935,-120.704842,Kittitas,US-WA,Human,,,,,,,,2.5,0.09,1.0
LAST CHANCE,1698705528000,2.0,,3.3,45.69972,-122.2269,Skamania,US-WA,Human,,,,,,,,16.2,0.28,1.0
NORRIS ROAD,1713223970000,2.0,,2.0,48.022073,-123.149654,Clallam,US-WA,Human,,,,,,,,12.6,0.16,1.0
BUMPY FLATS,1719955380000,2.0,,2.0,47.18284,-120.418631,Kittitas,US-WA,Human,,,,,,,,7.9,0.25,1.0
UNCLE SAM,1720156860000,2.0,,2.0,46.329926,-124.064162,Pacific,US-WA,Human,,,,,,,,0.7,0.29,1.0
LEFTHAND FORK,1720296180000,2.0,,8.5,46.748389,-120.796366,Yakima,US-WA,Human,,,,,,,,21.9,0.1,1.0
SPLIT HILLS,1720872067000,2.0,,2.3,48.05687,-123.4677,Clallam,US-WA,Human,,,,,,,,21.2,0.09,1.0
VANCE PARK,1720904225000,2.0,,2.9,46.996264,-123.414133,Grays Harbor,US-WA,Human,,,,,,,,0.9,0.03,1.0
PIONEER TRAIL,1720898402000,2.0,,2.0,47.080437,-120.655682,Kittitas,US-WA,Human,,,,,,,,8.3,0.3,1.0
RETREAT,1721774760000,2.0,,45601.0,46.64338,-121.18112,Yakima,US-WA,Human,Minimal,,,,25029000.0,25000000.0,95.0,22.7,0.07,1.0
FLAT CREEK,1722625080000,2.0,,42.74,48.398667,-120.969833,Chelan,US-WA,Natural,Minimal,,,,95000.0,1000000.0,1.0,59.4,1.91,1.0
WHALES,1722724026000,2.0,,2.0,45.886641,-122.76841,Cowlitz,US-WA,Undetermined,,,,,,,,0.5,0.02,1.0
HUFFAKER,1723337160000,2.0,,0.25,46.509326,-122.035461,Lewis,US-WA,Undetermined,,,,,,,,2.6,0.97,1.0
LOKI,1723385440000,2.0,,2.0,47.031867,-123.15335,Thurston,US-WA,Human,,,,,,,,20.0,,1.0
LODGEPOLE,1723502220000,2.0,,39.0,46.914367,-121.393867,Yakima,US-WA,Natural,Minimal,,,,1102000.0,5000000.0,100.0,34.7,0.53,1.0
WYNNIE,1725899460000,2.0,,12.3,47.58923,-120.420793,Chelan,US-WA,Human,,,,,,,,22.9,0.1,1.0
TANEUM CREEK,1726026900000,2.0,,2.5,47.09466,-120.82726,Kittitas,US-WA,Human,,,,,,,,24.1,0.3,1.0
RX EDEN VALLEY & FLUTTERBY,1730825645000,2.0,,2.0,48.10801,-123.615893,Clallam,US-WA,Undetermined,,,,,,,,21.2,0.48,1.0
PACIFIC PINES,1739464200000,2.0,,2.0,46.48166,-124.058009,Pacific,US-WA,Human,,,,,,,,1.2,0.14,1.0
DERBY,1745020080000,2.0,,4.0,47.5902,-120.575337,Chelan,US-WA,Human,,,,,,,,25.9,0.25,1.0
SHEEP CANYON,1745874741000,2.0,,1.0,45.949317,-121.082862,Klickitat,US-WA,Human,,,,,,,,8.9,0.3,1.0
OCEAN BEACH RD,1747083360000,2.0,,2.0,47.151351,-124.097663,Grays Harbor,US-WA,Undetermined,,,,,,,,1.4,0.42,1.0
SARG HUBBARD,1748832784000,2.0,,2.0,46.599532,-120.477659,Yakima,US-WA,Undetermined,,,,,,,,0.8,0.05,1.0
PETERS,1749597480000,2.0,,11.34,46.517244,-121.978331,Lewis,US-WA,Human,,,,,,,,2.6,0.14,1.0
MENZEL,1751404260000,2.0,,2.0,48.054218,-121.925433,Snohomish,US-WA,Human,,,,,,,,6.3,0.05,1.0
SUNNY SLOPE,1751685840000,2.0,,2.0,47.477396,-122.734586,Kitsap,US-WA,Human,,,,,,,,2.4,0.36,1.0
QUARRY,1751748720000,2.0,,3.8,47.0,-123.117967,Mason,US-WA,Human,,,,,,,,23.3,0.36,1.0
WIEHL RIDGE,1752284217000,2.0,,2.7,47.182075,-120.82524,Kittitas,US-WA,Human,,,,,,,,7.2,0.18,1.0
LAKE RD,1752381000000,2.0,,2.0,45.70035,-122.733092,Clark,US-WA,Human,,,,,,,,1.0,0.25,1.0
DISCOVERY,1752798060000,2.0,,2.0,48.10395,-123.7162,Clallam,US-WA,Human,,,,,,,,29.8,0.19,1.0
CORELESS,1752872580000,2.0,,9.4,46.998119,-122.24873,Pierce,US-WA,Human,,,,,,,,1.5,0.05,1.0
COUGAR,1753014900000,2.0,,1.2,46.62255,-121.70605,Lewis,US-WA,Human,,,,,,,,17.8,0.58,1.0
6TH AVE,1753128780000,2.0,,12.0,48.169443,-122.190414,Snohomish,US-WA,Human,,,,,,,,2.3,0.03,1.0
EAST PRONG,1753656480000,2.0,,2.35,45.889553,-120.729025,Klickitat,US-WA,Human,,,,,,,,5.3,0.14,1.0
SIOUXON CREEK,1753829700000,2.0,,1.43,45.93389,-122.359823,Skamania,US-WA,Human,,,,,,,,17.8,0.06,1.0
FD ASSIST SILVER LAKE ROAD,1754940089000,2.0,,2.0,48.942361,-122.074245,Whatcom,US-WA,Undetermined,,,,,,,,17.6,0.04,1.0
OAKLAND,1754949169000,2.0,,3.0,46.722537,-122.99343,Lewis,US-WA,Human,,,,,,,,0.7,0.01,1.0
EDGAR,1755818340000,2.0,,2.17,45.937278,-122.691044,Clark,US-WA,Human,,,,,,,,6.2,0.52,1.0
MISSION RIDGE,1756730400000,2.0,,9.0,47.30157,-120.46017,Chelan,US-WA,Natural,,,,,,,,26.3,0.74,1.0
GUS SPRING,1756957017000,2.0,,3.85,46.784,-120.445,Kittitas,US-WA,Human,,,,,,,,17.0,0.22,1.0
RENEGADE,1775255580000,2.0,,2.0,46.499062,-120.460196,Yakima,US-WA,Undetermined,,,,,,,,0.9,0.31,1.0
S BANKS RD,1471737148000,1.9,,1.9,46.85901,-123.2769,Grays Harbor,US-WA,Undetermined,,,,,,,,0.8,0.17,1.0
WYNOOCHEE RD,1618607532000,1.9,,4.0,47.02068,-123.6816,Grays Harbor,US-WA,Human,,,,,,,,8.3,0.24,1.0
BIGLER,1685580486000,1.9,,1.0,48.03419,-124.1522,Clallam,US-WA,Human,,,,,,,,11.5,0.34,1.0
CALIFORNIA ROAD,1688078470000,1.86,,1.86,47.28625,-123.2145,Mason,US-WA,Human,,,,,,,,2.3,0.1,1.0
HORSE PARK,1748719500000,1.86,,1.86,47.2024,-120.9818,Kittitas,US-WA,Human,,,,,,,,2.6,0.24,1.0
NISQUALLY,1594500469000,1.8,,1.8,47.07587,-122.6922,Pierce,US-WA,Unknown,,,,,,,,5.9,0.17,1.0
PECAN,1659227351000,1.8,,1.8,46.80612,-123.0365,Thurston,US-WA,Human,,,,,,,,0.8,0.04,1.0
534,1662425156000,1.75,,1.75,48.34116,-122.3149,Skagit,US-WA,Undetermined,,,,,,,,5.2,0.05,1.0
DUCK CREEK ,1586743824000,1.6,,1.5,46.24878,-123.3427,Wahkiakum,US-WA,Unknown,,,,,,,,10.7,1.33,1.0
LONE TREE,1499565600000,1.6,,2.6,47.81061,-122.807,Mason,US-WA,Human,,,,,,,,0.0,1.19,1.0
CARLISLE LAKE,1751824636000,1.6,,1.6,47.151351,-124.097663,Grays Harbor,US-WA,Human,,,,,,,,1.4,0.42,1.0
ERSKINE,1751926740000,1.6,,1.6,46.894143,-123.00504,Thurston,US-WA,Human,,,,,,,,2.6,0.04,1.0
NAKIA CREEK,1665355500000,1.5,,1918.0,45.70132,-122.2803,Clark,US-WA,Undetermined,Minimal,Type 4 Incident,,,800000000.0,,80.0,27.3,0.12,1.0
HOFFMAN ROAD,1628721792000,1.5,,2.1,48.33278,-122.6302,Island,US-WA,Human,,,,,,,,3.7,0.03,1.0
TOWER ROAD,1473881974000,1.5,,1.8,46.38024,-122.7722,Cowlitz,US-WA,Human,,,,,,,,3.1,0.36,1.0
MINERAL HEIGHTS,1503800983000,1.5,,1.5,46.56997,-122.2665,Lewis,US-WA,Human,,,,,,,,9.4,0.18,1.0
HWY 508,1572378486000,1.5,,1.5,46.60255,-122.4445,Lewis,US-WA,Human,,,,,,,,24.7,0.2,1.0
RIVER,1437453551000,1.5,,0.5,46.249001,-122.892998,Cowlitz,US-WA,Undetermined,,,,,,,,3.6,0.25,1.0
MORSE CREEK,1659219780000,1.5,,21.25,46.91902,-121.4666,Yakima,US-WA,Undetermined,,,,,,2000000.0,,39.7,0.42,1.0
LITTLE FIELD,1586819065000,1.5,,1.5,45.91544,-122.6228,Clark,US-WA,Human,,,,,,,,8.4,0.09,1.0
FALLING WATER,1503690309000,1.5,,1.47,47.14236,-122.1875,Pierce,US-WA,Human,,,,,,,,5.9,0.07,1.0
CALIFORNIA ROAD,1659233564000,1.5,,1.5,47.280147,-123.153661,Mason,US-WA,Human,,,,,,,,3.7,0.06,1.0
SOUTH SLOPE,1536159600000,1.5,,2.0,47.33518,-123.3204,Mason,US-WA,Unknown,,,,,,,,22.8,0.35,1.0
Barneys,1435873260000,1.5,,1.5,47.5131,-122.7726,Kitsap,US-WA,Human,,,,,,,,5.7,0.38,1.0
WEST WHITE,1528164000000,1.5,,2.5,47.17939,-123.1499,Mason,US-WA,Unknown,,,,,,,,6.5,0.23,1.0
F AND S,1660516299000,1.5,,1.5,48.5363,-122.3016,Skagit,US-WA,Undetermined,,,,,,,,11.4,0.14,1.0
CINEBAR CREEK,1647120360000,1.5,,1.5,46.5974,-122.4995,Lewis,US-WA,Undetermined,,,,,,,,8.3,0.08,1.0
GREENWOOD,1438473240000,1.5,,1.5,46.017899,-122.731201,Cowlitz,US-WA,Human,,,,,,,,17.7,0.1,1.0
RATTLESNAKE CREEK ,1539970552000,1.5,,0.75,45.8187,-121.4558,Klickitat,US-WA,Human,,,,,,,,18.7,0.32,1.0
Flower ,1534554593000,1.5,,150.0,48.1553,-120.9852,Snohomish,US-WA,Natural,Minimal,Type 5 Incident,,,2500.0,,0.0,38.4,1.09,1.0
WILCOX,1532307420000,1.5,,1.5,46.88697,-122.4758,Pierce,US-WA,Unknown,,,,,,,,3.6,0.1,1.0
LOOP HILL,1539982380000,1.5,,1.5,47.81041,-120.6832,Chelan,US-WA,Unknown,,,,,,,,9.5,0.31,1.0
TRACTOR 161,1440706387000,1.5,,0.5,46.9436,-122.280701,Pierce,US-WA,Human,,,,,,,,6.1,0.04,1.0
Ahtanum Ridge 2,1440539827000,1.5,,3.5,46.5581,-120.5341,Yakima,US-WA,Undetermined,,,,,,,,0.9,0.15,1.0
ABERNATHY,1629062630000,1.5,,0.84,46.24638,-123.1615,Cowlitz,US-WA,Undetermined,,,,,,,,9.8,0.05,1.0
