fire_name,centroid_lat,centroid_lon,asset_weight,fetch_radius_m,amenity,building,landuse
ALMEDA DRIVE,42.458601271445275,-122.79846190887812,4.0,37100.0,,,residential
ALMEDA DRIVE,42.1915834220393,-122.70040539464753,8.0,37100.0,school,,
ALMEDA DRIVE,42.314371327005624,-122.83786055582625,8.0,37100.0,school,,
ALMEDA DRIVE,42.3086163100927,-122.83013338011997,8.0,37100.0,school,,
ALMEDA DRIVE,42.272799750024156,-122.82061347313594,8.0,37100.0,school,,
ALMEDA DRIVE,42.27601905539579,-122.82440410609408,8.0,37100.0,school,,
ALMEDA DRIVE,42.24040007713349,-122.79119142926467,8.0,37100.0,school,,
ALMEDA DRIVE,42.239110808181806,-122.79406870354984,8.0,37100.0,school,,
ALMEDA DRIVE,42.18696269591272,-122.693644643633,2.0,37100.0,,commercial,
ALMEDA DRIVE,42.19578012720542,-122.71037017559125,2.0,37100.0,,commercial,
ALMEDA DRIVE,42.19544036959987,-122.71068058088595,2.0,37100.0,,commercial,
ALMEDA DRIVE,42.19546750567684,-122.71014068485718,2.0,37100.0,,commercial,
ALMEDA DRIVE,42.20155352609115,-122.70751782006641,4.0,37100.0,,residential,
ALMEDA DRIVE,42.20160101010066,-122.70728561909593,4.0,37100.0,,residential,
ALMEDA DRIVE,42.20175278235069,-122.70750157526359,4.0,37100.0,,residential,
ALMEDA DRIVE,42.201686545974034,-122.70710935903928,4.0,37100.0,,residential,
ALMEDA DRIVE,42.2028405979159,-122.7029504360909,4.0,37100.0,,residential,
ALMEDA DRIVE,42.20284496649052,-122.70276328667346,4.0,37100.0,,residential,
ALMEDA DRIVE,42.20287608507899,-122.70257639406226,4.0,37100.0,,residential,
ALMEDA DRIVE,42.20290152697982,-122.70239411800348,4.0,37100.0,,residential,
ALMEDA DRIVE,42.202883855888004,-122.70312862193131,4.0,37100.0,,residential,
ALMEDA DRIVE,42.2029109521813,-122.70329199579804,4.0,37100.0,,residential,
ALMEDA DRIVE,42.200534535098434,-122.70719554261962,2.0,37100.0,,commercial,
